word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
terme;5;1084;47;15;50948;5420;;;
pu;2;1084;17;6;18428;2168;;;
personnage;10;1078;62;30;66836;10780;;;
grec;4;1078;29;12;31262;4312;;;
culture;7;1078;66;21;71148;7546;;;
creation;8;1077;53;24;57081;8616;;;
main;4;1075;33;12;35475;4300;;;
appeles;7;1073;52;21;55796;7511;;;
voit;4;1067;38;12;40546;4268;;;
ancienne;8;1063;45;24;47835;8504;;;
genre;5;1063;35;15;37205;5315;;;
economique;10;1061;77;30;81697;10610;;;
romaine;7;1061;53;21;56233;7427;;;
aucun;5;1060;34;15;36040;5300;;;
forment;7;1060;57;21;60420;7420;;;
permettent;10;1057;84;30;88788;10570;;;
troupes;7;1056;56;21;59136;7392;;;
juste;5;1056;49;15;51744;5280;;;
zone;4;1055;32;12;33760;4220;;;
mise;4;1055;42;12;44310;4220;;;
printemps;9;1051;76;27;79876;9459;;;
vitesse;7;1050;65;21;68250;7350;;;
majorite;8;1047;71;24;74337;8376;;;
vue;3;1047;30;9;31410;3141;;;
desormais;9;1043;73;27;76139;9387;;;
six;3;1042;34;9;35428;3126;;;
elu;3;1041;32;9;33312;3123;;;
national;8;1040;54;24;56160;8320;;;
vraiment;8;1038;70;24;72660;8304;;;
pense;5;1036;33;15;34188;5180;;;
actuellement;12;1035;107;36;110745;12420;;;
